"filename", "language", "JavaScript", "PHP", "CSS", "Markdown", "XML", "JSON", "SCSS", "Vue", "comment", "blank", "total"
"c:\xampp\htdocs\unlimited\app\Models\User.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 16, 7, 49
"c:\xampp\htdocs\unlimited\app\Providers\AppServiceProvider.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 12, 6, 32
"c:\xampp\htdocs\unlimited\app\Providers\AuthServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 13, 6, 31
"c:\xampp\htdocs\unlimited\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\xampp\htdocs\unlimited\app\Providers\EventServiceProvider.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 16, 6, 43
"c:\xampp\htdocs\unlimited\app\Providers\RouteServiceProvider.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 17, 8, 53
"c:\xampp\htdocs\unlimited\bootstrap\app.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 30, 9, 56
"c:\xampp\htdocs\unlimited\composer.json", "JSON", 0, 0, 0, 0, 0, 65, 0, 0, 0, 1, 66
"c:\xampp\htdocs\unlimited\composer.lock", "JSON", 0, 0, 0, 0, 0, 7810, 0, 0, 0, 1, 7811
"c:\xampp\htdocs\unlimited\config\app.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 0, 134, 34, 216
"c:\xampp\htdocs\unlimited\config\auth.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 70, 14, 112
"c:\xampp\htdocs\unlimited\config\broadcasting.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 0, 23, 13, 71
"c:\xampp\htdocs\unlimited\config\cache.php", "PHP", 0, 58, 0, 0, 0, 0, 0, 0, 34, 19, 111
"c:\xampp\htdocs\unlimited\config\cors.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 29, 3, 35
"c:\xampp\htdocs\unlimited\config\database.php", "PHP", 0, 83, 0, 0, 0, 0, 0, 0, 47, 22, 152
"c:\xampp\htdocs\unlimited\config\filesystems.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 32, 13, 77
"c:\xampp\htdocs\unlimited\config\hashing.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 32, 9, 53
"c:\xampp\htdocs\unlimited\config\logging.php", "PHP", 0, 70, 0, 0, 0, 0, 0, 0, 34, 19, 123
"c:\xampp\htdocs\unlimited\config\mail.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 0, 47, 19, 119
"c:\xampp\htdocs\unlimited\config\queue.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 0, 32, 15, 94
"c:\xampp\htdocs\unlimited\config\sanctum.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 41, 12, 68
"c:\xampp\htdocs\unlimited\config\services.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 11, 7, 35
"c:\xampp\htdocs\unlimited\config\session.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 147, 33, 202
"c:\xampp\htdocs\unlimited\config\view.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 20, 7, 37
"c:\xampp\htdocs\unlimited\database\factories\UserFactory.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 13, 5, 41
"c:\xampp\htdocs\unlimited\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 10, 4, 41
"c:\xampp\htdocs\unlimited\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\unlimited\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\xampp\htdocs\unlimited\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 10, 4, 38
"c:\xampp\htdocs\unlimited\database\migrations\2022_09_27_192640_create_categorias_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 10, 4, 37
